device_id,ts,anomaly_type,confidence_score,carbon_credit_impact_pct
TEC0325A0600002,2026-02-04 11:15:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.813,100.0
TEC0325A0600002,2026-02-04 11:19:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8192,100.0
TEC0325A0600002,2026-02-04 11:19:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8186,100.0
TEC0325A0600002,2026-02-04 11:23:06.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8212,100.0
TEC0325A0600002,2026-02-04 11:23:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8194,100.0
TEC0325A0600002,2026-02-04 11:27:36.323000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8149,100.0
TEC0325A0600002,2026-02-04 11:28:06.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8155,100.0
TEC0325A0600002,2026-02-04 11:31:36.285000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7909,100.0
TEC0325A0600002,2026-02-04 11:32:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7909,100.0
TEC0325A0600002,2026-02-04 11:35:36.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8178,100.0
TEC0325A0600002,2026-02-04 11:36:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8178,100.0
TEC0325A0600002,2026-02-04 11:41:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8199,100.0
TEC0325A0600002,2026-02-04 11:42:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8199,100.0
TEC0325A0600002,2026-02-04 11:43:36.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8199,100.0
TEC0325A0600002,2026-02-04 11:44:06.335000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8211,100.0
TEC0325A0600002,2026-02-04 11:45:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8322,100.0
